Function name	Start
sub_820F2DE0	820F2DE0
sub_820F2FA0	820F2FA0
sub_820F3200	820F3200
sub_820F3258	820F3258
sub_820F32F8	820F32F8
sub_820F3398	820F3398
sub_820F3518	820F3518
sub_820F35F0	820F35F0
sub_820F3738	820F3738
sub_820F3938	820F3938
sub_820F3A08	820F3A08
sub_820F3A68	820F3A68
sub_820F3AB0	820F3AB0
sub_820F3B48	820F3B48
sub_820F3BA0	820F3BA0
sub_820F3BE8	820F3BE8
sub_820F3C38	820F3C38
sub_820F3CC8	820F3CC8
sub_820F3D58	820F3D58
sub_820F3E00	820F3E00
sub_820F3F00	820F3F00
sub_820F41E0	820F41E0
sub_820F42F0	820F42F0
sub_820F4358	820F4358
sub_820F43D8	820F43D8
sub_820F46F8	820F46F8
sub_820F47E0	820F47E0
sub_820F48A0	820F48A0
sub_820F49E0	820F49E0
sub_820F4AF8	820F4AF8
sub_820F4B68	820F4B68
sub_820F4BD8	820F4BD8
sub_820F4C68	820F4C68
sub_820F4E40	820F4E40
sub_820F4ED8	820F4ED8
sub_820F4F68	820F4F68
sub_820F5168	820F5168
sub_820F51D8	820F51D8
sub_820F5250	820F5250
sub_820F52C8	820F52C8
sub_820F5330	820F5330
sub_820F5408	820F5408
sub_820F54A8	820F54A8
sub_820F5700	820F5700
sub_820F5B18	820F5B18
sub_820F5B20	820F5B20
sub_820F5B78	820F5B78
sub_820F5D28	820F5D28
sub_820F5D50	820F5D50
sub_820F5DB0	820F5DB0
sub_820F5FC0	820F5FC0
sub_820F6038	820F6038
sub_820F6120	820F6120
sub_820F61E8	820F61E8
sub_820F6278	820F6278
sub_820F62E8	820F62E8
sub_820F6398	820F6398
sub_820F6450	820F6450
sub_820F68E0	820F68E0
sub_820F6910	820F6910
sub_820F6C00	820F6C00
sub_820F6E80	820F6E80
sub_820F7250	820F7250
sub_820F7258	820F7258
sub_820F74B0	820F74B0
sub_820F7570	820F7570
sub_820F7670	820F7670
sub_820F76E0	820F76E0
sub_820F7790	820F7790
sub_820F7858	820F7858
sub_820F78D8	820F78D8
sub_820F7988	820F7988
sub_820F79D0	820F79D0
sub_820F7A60	820F7A60
sub_820F7B68	820F7B68
sub_820F7C80	820F7C80
sub_820F7DB0	820F7DB0
sub_820F7E40	820F7E40
sub_820F7EC0	820F7EC0
sub_820F7F68	820F7F68
sub_820F8060	820F8060
sub_820F8190	820F8190
sub_820F82A0	820F82A0
sub_820F83B0	820F83B0
sub_820F84C8	820F84C8
sub_820F85D8	820F85D8
sub_820F86F0	820F86F0
sub_820F8808	820F8808
sub_820F8920	820F8920
sub_820F8A38	820F8A38
sub_820F8B50	820F8B50
sub_820F8C68	820F8C68
sub_820F8D90	820F8D90
sub_820F8EB8	820F8EB8
sub_820F8FE0	820F8FE0
sub_820F90F8	820F90F8
sub_820F91A0	820F91A0
sub_820F92E0	820F92E0
sub_820F9420	820F9420
sub_820F9540	820F9540
sub_820F9668	820F9668
sub_820F9790	820F9790
sub_820F98B8	820F98B8
sub_820F99D8	820F99D8
sub_820F9AF8	820F9AF8
sub_820F9C20	820F9C20
sub_820F9D48	820F9D48
sub_820F9E30	820F9E30
sub_820F9F48	820F9F48
sub_820F9FF0	820F9FF0
sub_820FA118	820FA118
sub_820FA238	820FA238
sub_820FA2E0	820FA2E0
sub_820FA3C8	820FA3C8
sub_820FA4B8	820FA4B8
sub_820FA558	820FA558
sub_820FA610	820FA610
sub_820FA718	820FA718
sub_820FA7B8	820FA7B8
sub_820FA858	820FA858
sub_820FA8F8	820FA8F8
sub_820FA9A8	820FA9A8
sub_820FAA58	820FAA58
sub_820FAB08	820FAB08
sub_820FABB8	820FABB8
sub_820FACC0	820FACC0
sub_820FAF10	820FAF10
sub_820FAFC0	820FAFC0
sub_820FB080	820FB080
sub_820FB120	820FB120
sub_820FB1C0	820FB1C0
sub_820FB260	820FB260
sub_820FB300	820FB300
sub_820FB3B0	820FB3B0
sub_820FB460	820FB460
sub_820FB518	820FB518
sub_820FB590	820FB590
sub_820FB6D8	820FB6D8
sub_820FB790	820FB790
sub_820FB8B8	820FB8B8
sub_820FBA28	820FBA28
sub_820FBBB8	820FBBB8
sub_820FBD48	820FBD48
sub_820FBED8	820FBED8
sub_820FBEE0	820FBEE0
sub_820FBF38	820FBF38
sub_820FBF70	820FBF70
sub_820FBFB8	820FBFB8
sub_820FC348	820FC348
sub_820FC3B8	820FC3B8
sub_820FC460	820FC460
sub_820FC528	820FC528
sub_820FCA98	820FCA98
sub_820FCE18	820FCE18
sub_820FD340	820FD340
sub_820FD720	820FD720
sub_820FD968	820FD968
sub_820FDC20	820FDC20
sub_820FDD28	820FDD28
sub_820FDD60	820FDD60
sub_820FDDB0	820FDDB0
sub_820FDE28	820FDE28
sub_820FDE80	820FDE80
sub_820FDEC0	820FDEC0
sub_820FDFB8	820FDFB8
sub_820FE0A8	820FE0A8
sub_820FE0C8	820FE0C8
sub_820FE0E8	820FE0E8
sub_820FE108	820FE108
sub_820FE140	820FE140
sub_820FE1C8	820FE1C8
sub_820FE278	820FE278
sub_820FE3F0	820FE3F0
sub_820FE4B0	820FE4B0
sub_820FE570	820FE570
sub_820FE658	820FE658
sub_820FE678	820FE678
sub_820FE6F0	820FE6F0
sub_820FE780	820FE780
sub_820FE7D8	820FE7D8
nullsub_1	820FE8E0
sub_820FE8E8	820FE8E8
